Point_time	AUGEVolume	AUGEASTLEVANALOG	AUGWVOLUME	AUGWESTLEVANALOG
01/01/2018	59.94	574	32.67	574.33
01/02/2018	59.89	573.99	32.57	574.29
01/03/2018	59.89	573.97	32.44	574.24
01/04/2018	59.9	573.97	32.22	574.07
01/05/2018	59.88	573.99	31.94	573.85
01/06/2018	59.89	573.98	31.64	573.46
01/07/2018	59.89	573.96	31.37	573.09
01/08/2018	59.91	573.97	31.61	572.78
01/09/2018	59.89	573.97	31.95	573.05
01/10/2018	59.91	573.97	32.2	573.47
01/11/2018	59.89	573.98	32.67	573.78
01/12/2018	60.76	573.98	33.21	574.36
01/13/2018	61.78	574.58	36.86	575.02
01/14/2018	62.71	575.26	36.72	579.23
01/15/2018	63.52	575.87	36.3	579.03
01/16/2018	63.73	576.39	36.3	578.55
01/17/2018	63.83	576.53	36.3	578.55
01/18/2018	63.88	576.58	36.4	578.55
01/19/2018	63.98	576.63	36.51	578.68
01/20/2018	63.44	576.69	37.2	578.8
01/21/2018	63.03	576.34	37.93	579.59
01/22/2018	62.74	576.07	38.77	580.4
01/23/2018	62.6	575.89	41.17	581.3
01/24/2018	62.84	575.79	42.09	583.89
01/25/2018	63.22	575.95	42.63	584.9
01/26/2018	63.71	576.19	42.89	585.43
01/27/2018	64.25	576.51	43.03	585.69
01/28/2018	64.78	576.86	43.1	585.83
01/29/2018	65.27	577.2	43.11	585.9
01/30/2018	65.6	577.53	43.23	585.91
01/31/2018	65.69	577.74	43.56	586.04
02/01/2018	65.69	577.8	43.85	586.37
02/02/2018	65.44	577.8	44.37	586.65
02/03/2018	65.13	577.63	44.86	587.17
02/04/2018	64.88	577.44	45.5	587.68
02/05/2018	64.81	577.28	45.65	588.3
02/06/2018	64.34	577.23	46.12	588.46
02/07/2018	64.94	576.92	46.27	588.94
02/08/2018	65.27	577.31	46.23	589.08
02/09/2018	65.85	577.52	45.86	589.05
02/10/2018	66.58	577.9	45.4	588.67
02/11/2018	67.4	578.38	45.37	588.21
02/12/2018	68.06	578.91	45.35	588.18
02/13/2018	68.68	579.34	45.24	588.16
02/14/2018	69.27	579.74	45.03	588.05
02/15/2018	69.86	580.13	45.05	587.83
02/16/2018	70.43	580.48	45.1	587.85
02/17/2018	71.01	580.84	45.07	587.92
02/18/2018	71.51	581.2	44.93	587.85
02/19/2018	72.03	581.5	44.91	587.74
02/20/2018	72.49	581.82	44.87	587.71
02/21/2018	72.94	582.11	44.81	587.7
02/22/2018	73.14	582.39	44.86	587.63
02/23/2018	73.36	582.5	44.94	587.68
02/24/2018	73.59	582.64	45.17	587.75
02/25/2018	73.84	582.79	45.92	587.99
02/26/2018	74.17	582.95	46.07	588.73
02/27/2018	74.52	583.15	46.03	588.89
02/28/2018	75.14	583.37	45.34	588.85
03/01/2018	75.83	583.75	44.67	588.15
03/02/2018	76.53	584.19	44.46	587.51
03/03/2018	76.93	584.61	43.86	587.24
03/04/2018	77.22	584.87	43.32	586.66
03/05/2018	77.32	585.04	42.82	586.11
03/06/2018	77.21	585.1	42.58	585.62
03/07/2018	77	585.04	42.49	585.38
03/08/2018	76.72	584.9	42.3	585.29
03/09/2018	76.45	584.73	42.09	585.1
03/10/2018	76.17	584.57	41.85	584.87
03/11/2018	75.9	584.39	41.57	584.61
03/12/2018	75.65	584.22	41.63	584.32
03/13/2018	75.35	584.06	41.87	584.39
03/14/2018	75.11	583.88	42.14	584.64
03/15/2018	75.08	583.73	42.1	584.93
03/16/2018	75.07	583.71	42.01	584.89
03/17/2018	75.06	583.7	41.95	584.8
03/18/2018	75.03	583.7	41.86	584.73
03/19/2018	74.98	583.68	41.79	584.64
03/20/2018	74.97	583.65	41.72	584.56
03/21/2018	74.86	583.64	41.63	584.48
03/22/2018	74.84	583.58	41.51	584.39
03/23/2018	74.81	583.56	41.42	584.26
03/24/2018	74.77	583.55	41.33	584.15
03/25/2018	74.69	583.52	41.26	584.06
03/26/2018	74.63	583.47	41.19	583.98
03/27/2018	74.56	583.43	41.14	583.91
03/28/2018	74.51	583.4	41.12	583.87
03/29/2018	74.46	583.36	41.16	583.84
03/30/2018	74.42	583.33	41.52	583.89
03/31/2018	74.51	583.31	41.89	584.27
04/01/2018	74.61	583.36	42.2	584.67
04/02/2018	74.74	583.43	42.41	585
04/03/2018	75.11	583.52	42.47	585.21
04/04/2018	75.31	583.73	42.65	585.28
04/05/2018	75.57	583.86	42.79	585.46
04/06/2018	75.9	584.02	42.94	585.59
04/07/2018	76.15	584.23	43	585.75
04/08/2018	76.4	584.38	42.96	585.8
04/09/2018	76.57	584.52	42.91	585.77
04/10/2018	76.79	584.63	42.76	585.71
04/11/2018	77	584.78	42.6	585.56
04/12/2018	77.08	584.9	42.54	585.4
04/13/2018	77.14	584.95	42.56	585.35
04/14/2018	77.23	585	42.73	585.37
04/15/2018	77.43	585.05	42.95	585.53
04/16/2018	78.2	585.17	45.39	585.75
04/17/2018	79.08	585.64	46.21	588.2
04/18/2018	79.56	586.15	46.08	589.03
04/19/2018	79.68	586.45	46.1	588.9
04/20/2018	79.61	586.5	45.92	588.94
04/21/2018	79.62	586.46	45.63	588.74
04/22/2018	79.57	586.47	45.28	588.44
04/23/2018	79.5	586.44	44.91	588.09
04/24/2018	79.52	586.4	44.88	587.72
04/25/2018	79.74	586.41	45.51	587.69
04/26/2018	79.8	586.53	45.87	588.32
04/27/2018	79.87	586.58	46.19	588.69
04/28/2018	80.12	586.61	46.47	589.01
04/29/2018	80.1	586.76	46.65	589.29
04/30/2018	80.12	586.75	46.81	589.45
05/01/2018	80.14	586.77	47.07	589.62
05/02/2018	80.28	586.79	47.26	589.9
05/03/2018	80.38	586.86	47.37	590.08
05/04/2018	80.55	586.93	47.37	590.18
05/05/2018	80.62	587.02	47.37	590.17
05/06/2018	80.77	587.07	47.4	590.18
05/07/2018	80.85	587.16	47.37	590.2
05/08/2018	80.88	587.21	47.34	590.18
05/09/2018	80.73	587.22	47.46	590.14
05/10/2018	80.57	587.13	47.48	590.26
05/11/2018	80.48	587.04	47.51	590.31
05/12/2018	80.37	586.98	47.52	590.31
05/13/2018	80.24	586.91	47.51	590.32
05/14/2018	80.18	586.84	47.49	590.31
05/15/2018	80.33	586.82	47.57	590.3
05/16/2018	80.4	586.89	47.53	590.37
05/17/2018	80.43	586.93	47.51	590.33
05/18/2018	80.42	586.96	47.5	590.31
05/19/2018	80.78	586.94	47.69	590.3
05/20/2018	80.96	587.17	47.61	590.47
05/21/2018	81.02	587.27	47.56	590.4
05/22/2018	81.07	587.3	47.53	590.36
05/23/2018	81.01	587.34	47.5	590.33
05/24/2018	80.95	587.3	47.46	590.3
05/25/2018	80.85	587.25	47.43	590.26
05/26/2018	80.74	587.21	47.42	590.24
05/27/2018	80.69	587.14	47.42	590.22
05/28/2018	80.57	587.1	47.41	590.22
05/29/2018	80.41	587.04	47.42	590.22
05/30/2018	80.21	586.94	47.44	590.23
05/31/2018	78.01	586.82	45.42	590.24
06/01/2018	78	586.77	45.44	590.26
06/02/2018	78.14	586.75	45.51	590.32
06/03/2018	78.24	586.85	45.44	590.4
06/04/2018	78.18	586.9	45.38	590.33
06/05/2018	78.02	586.86	45.35	590.27
